,mouse,day,session,filepath
88,2,5,openfield,Teris/FragileX/data/openfield/M2_D5_2021-01-15_17-18-50
89,2,5,VR,Teris/FragileX/data/VR/M2_D5_2021-01-15_15-54-29
90,2,6,openfield,Teris/FragileX/data/openfield/M2_D6_2021-01-18_16-43-31
91,2,6,VR,Teris/FragileX/data/VR/M2_D6_2021-01-18_15-54-39
92,2,7,openfield,Teris/FragileX/data/openfield/M2_D7_2021-01-19_16-41-02
93,2,7,VR,Teris/FragileX/data/VR/M2_D7_2021-01-19_15-55-31
94,2,8,openfield,Teris/FragileX/data/openfield/M2_D8_2021-01-20_16-51-29
95,2,8,VR,Teris/FragileX/data/VR/M2_D8_2021-01-20_16-04-03
96,2,9,openfield,Teris/FragileX/data/openfield/M2_D9_2021-01-21_16-42-58
97,2,9,VR,Teris/FragileX/data/VR/M2_D9_2021-01-21_15-50-44
98,2,10,openfield,Teris/FragileX/data/openfield/M2_D10_2021-01-22_17-07-59
99,2,10,VR,Teris/FragileX/data/VR/M2_D10_2021-01-22_16-15-03
100,2,11,openfield,Teris/FragileX/data/openfield/M2_D11_2021-01-25_16-38-50
101,2,11,VR,Teris/FragileX/data/VR/M2_D11_2021-01-25_15-45-52
102,2,12,openfield,Teris/FragileX/data/openfield/M2_D12_2021-01-26_16-48-31
103,2,12,VR,Teris/FragileX/data/VR/M2_D12_2021-01-26_15-56-36
104,2,13,openfield,Teris/FragileX/data/openfield/M2_D13_2021-01-27_16-29-18
105,2,13,VR,Teris/FragileX/data/VR/M2_D13_2021-01-27_15-42-44
106,2,14,openfield,Teris/FragileX/data/openfield/M2_D14_2021-01-28_16-40-55
107,2,14,VR,Teris/FragileX/data/VR/M2_D14_2021-01-28_15-53-55
108,2,15,openfield,Teris/FragileX/data/openfield/M2_D15_2021-01-29_16-45-51
109,2,15,VR,Teris/FragileX/data/VR/M2_D15_2021-01-29_15-48-08
110,2,16,openfield,Teris/FragileX/data/openfield/M2_D16_2021-02-01_16-49-44
111,2,16,VR,Teris/FragileX/data/VR/M2_D16_2021-02-01_15-59-56
112,2,17,openfield,Teris/FragileX/data/openfield/M2_D17_2021-02-02_16-41-14
113,2,17,VR,Teris/FragileX/data/VR/M2_D17_2021-02-02_15-54-57
114,2,18,openfield,Teris/FragileX/data/openfield/M2_D18_2021-02-03_16-55-06
115,2,18,VR,Teris/FragileX/data/VR/M2_D18_2021-02-03_15-57-44
116,2,19,openfield,Teris/FragileX/data/openfield/M2_D19_2021-02-04_17-17-50
117,2,19,VR,Teris/FragileX/data/VR/M2_D19_2021-02-04_16-24-33
118,2,20,openfield,Teris/FragileX/data/openfield/M2_D20_2021-02-05_16-53-58
119,2,20,VR,Teris/FragileX/data/VR/M2_D20_2021-02-05_15-57-01
120,2,21,openfield,Teris/FragileX/data/openfield/M2_D21_2021-02-08_17-09-48
121,2,21,VR,Teris/FragileX/data/VR/M2_D21_2021-02-08_15-54-01
122,2,22,openfield,Teris/FragileX/data/openfield/M2_D22_2021-02-09_16-54-20
123,2,22,VR,Teris/FragileX/data/VR/M2_D22_2021-02-09_15-58-23
124,2,23,openfield,Teris/FragileX/data/openfield/M2_D23_2021-02-10_17-40-25
125,2,23,VR,Teris/FragileX/data/VR/M2_D23_2021-02-10_16-30-30
126,2,24,openfield,Teris/FragileX/data/openfield/M2_D24_2021-02-11_17-17-40
127,2,24,VR,Teris/FragileX/data/VR/M2_D24_2021-02-11_16-04-13
128,2,25,openfield,Teris/FragileX/data/openfield/M2_D25_2021-02-12_17-11-14
129,2,25,VR,Teris/FragileX/data/VR/M2_D25_2021-02-12_16-06-58
130,2,26,openfield,Teris/FragileX/data/openfield/M2_D26_2021-02-15_16-47-18
131,2,26,VR,Teris/FragileX/data/VR/M2_D26_2021-02-15_15-50-47
132,2,27,openfield,Teris/FragileX/data/openfield/M2_D27_2021-02-16_16-59-32
133,2,27,VR,Teris/FragileX/data/VR/M2_D27_2021-02-16_16-11-10
134,2,28,openfield,Teris/FragileX/data/openfield/M2_D28_2021-02-17_16-43-46
135,2,28,VR,Teris/FragileX/data/VR/M2_D28_2021-02-17_15-53-49
136,2,29,openfield,Teris/FragileX/data/openfield/M2_D29_2021-02-18_16-39-35
137,2,29,VR,Teris/FragileX/data/VR/M2_D29_2021-02-18_15-56-12
138,2,30,openfield,Teris/FragileX/data/openfield/M2_D30_2021-02-19_16-34-56
139,2,30,VR,Teris/FragileX/data/VR/M2_D30_2021-02-19_15-49-46
140,2,31,openfield,Teris/FragileX/data/openfield/M2_D31_2021-02-22_16-39-09
141,2,31,VR,Teris/FragileX/data/VR/M2_D31_2021-02-22_15-56-28
142,2,32,openfield,Teris/FragileX/data/openfield/M2_D32_2021-02-23_16-31-26
143,2,32,VR,Teris/FragileX/data/VR/M2_D32_2021-02-23_15-47-44
144,2,33,openfield,Teris/FragileX/data/openfield/M2_D33_2021-02-24_16-40-56
145,2,33,VR,Teris/FragileX/data/VR/M2_D33_2021-02-24_15-56-16
146,2,34,openfield,Teris/FragileX/data/openfield/M2_D34_2021-02-25_16-27-40
147,2,34,VR,Teris/FragileX/data/VR/M2_D34_2021-02-25_15-46-47
148,2,35,openfield,Teris/FragileX/data/openfield/M2_D35_2021-02-26_16-23-13
149,2,35,VR,Teris/FragileX/data/VR/M2_D35_2021-02-26_15-34-26
150,2,36,openfield,Teris/FragileX/data/openfield/M2_D36_2021-03-01_16-14-29
151,2,36,VR,Teris/FragileX/data/VR/M2_D36_2021-03-01_15-34-22
