mouse,day,session,filepath
20,25,OF2,Harry/EphysNeuropixelData/of/M20_D25_2024-05-27_14-57-21_OF2
20,25,VR,Harry/EphysNeuropixelData/vr/M20_D25_2024-05-27_14-24-21_VR1
20,26,OF1,Harry/EphysNeuropixelData/of/M20_D26_2024-05-28_14-31-11_OF1
20,26,OF2,Harry/EphysNeuropixelData/of/M20_D26_2024-05-28_15-56-00_OF2
20,26,VR,Harry/EphysNeuropixelData/vr/M20_D26_2024-05-28_15-18-55_VR1
20,27,OF1,Harry/EphysNeuropixelData/of/M20_D27_2024-05-29_14-02-10_OF1
20,27,OF2,Harry/EphysNeuropixelData/of/M20_D27_2024-05-29_15-17-01_OF2
20,27,VR,Harry/EphysNeuropixelData/vr/M20_D27_2024-05-29_14-36-51_VR1
20,27,VID1,Harry/EphysNeuropixelData/allen_brain_observatory_visual_coding/M20_D27_2024-05-29_15-40-09_VID1
20,28,OF1,Harry/EphysNeuropixelData/of/M20_D28_2024-05-30_14-47-20_OF1
20,28,OF2,Harry/EphysNeuropixelData/of/M20_D28_2024-05-30_15-43-20_OF2
20,28,VR,Harry/EphysNeuropixelData/vr/M20_D28_2024-05-30_15-10-10_VR1
20,28,VID1,Harry/EphysNeuropixelData/allen_brain_observatory_visual_coding/M20_D28_2024-05-30_16-05-46_VID1
21,15,OF1,Harry/EphysNeuropixelData/of/M21_D15_2024-05-15_11-22-21_OF1
21,15,OF2,Harry/EphysNeuropixelData/of/M21_D15_2024-05-15_12-38-58_OF2
21,15,VR,Harry/EphysNeuropixelData/vr/M21_D15_2024-05-15_11-54-28_VR1
21,16,OF1,Harry/EphysNeuropixelData/of/M21_D16_2024-05-16_14-03-05_OF1
21,16,OF2,Harry/EphysNeuropixelData/of/M21_D16_2024-05-16_15-30-33_OF2
21,16,VR,Harry/EphysNeuropixelData/vr/M21_D16_2024-05-16_14-40-02_VR1
21,17,OF1,Harry/EphysNeuropixelData/of/M21_D17_2024-05-17_15-19-04_OF1
21,17,OF2,Harry/EphysNeuropixelData/of/M21_D17_2024-05-17_16-37-24_OF2
21,17,VR,Harry/EphysNeuropixelData/vr/M21_D17_2024-05-17_15-49-55_VR1
21,18,OF1,Harry/EphysNeuropixelData/of/M21_D18_2024-05-20_15-33-34_OF1
21,18,OF2,Harry/EphysNeuropixelData/of/M21_D18_2024-05-20_16-42-33_OF2
21,18,VR,Harry/EphysNeuropixelData/vr/M21_D18_2024-05-20_16-00-25_VR1
21,19,OF1,Harry/EphysNeuropixelData/of/M21_D19_2024-05-21_15-30-20_OF1
21,19,OF2,Harry/EphysNeuropixelData/of/M21_D19_2024-05-21_16-32-05_OF2
21,19,VR,Harry/EphysNeuropixelData/vr/M21_D19_2024-05-21_15-55-06_VR1
21,20,OF1,Harry/EphysNeuropixelData/of/M21_D20_2024-05-22_15-17-31_OF1
21,20,OF2,Harry/EphysNeuropixelData/of/M21_D20_2024-05-22_16-41-59_OF2
21,20,VR,Harry/EphysNeuropixelData/vr/M21_D20_2024-05-22_16-05-37_VR1
21,21,OF1,Harry/EphysNeuropixelData/of/M21_D21_2024-05-23_15-50-21_OF1
21,21,OF2,Harry/EphysNeuropixelData/of/M21_D21_2024-05-23_16-58-03_OF2
21,21,VR,Harry/EphysNeuropixelData/vr/M21_D21_2024-05-23_16-16-08_VR1
21,22,OF1,Harry/EphysNeuropixelData/of/M21_D22_2024-05-24_15-31-28_OF1
21,22,OF2,Harry/EphysNeuropixelData/of/M21_D22_2024-05-24_16-41-40_OF2
21,22,VR,Harry/EphysNeuropixelData/vr/M21_D22_2024-05-24_16-04-58_VR1
21,23,OF1,Harry/EphysNeuropixelData/of/M21_D23_2024-05-25_16-07-17_OF1
21,23,OF2,Harry/EphysNeuropixelData/of/M21_D23_2024-05-25_17-32-50_OF2
21,23,VR,Harry/EphysNeuropixelData/vr/M21_D23_2024-05-25_16-54-12_VR1
21,24,OF1,Harry/EphysNeuropixelData/of/M21_D24_2024-05-26_15-58-23_OF1
21,24,OF2,Harry/EphysNeuropixelData/of/M21_D24_2024-05-26_17-13-23_OF2
21,24,VR,Harry/EphysNeuropixelData/vr/M21_D24_2024-05-26_16-35-19_VR1
21,25,OF1,Harry/EphysNeuropixelData/of/M21_D25_2024-05-27_15-35-57_OF1
21,25,OF2,Harry/EphysNeuropixelData/of/M21_D25_2024-05-27_16-39-07_OF2
21,25,VR,Harry/EphysNeuropixelData/vr/M21_D25_2024-05-27_16-00-30_VR1
21,26,OF1,Harry/EphysNeuropixelData/of/M21_D26_2024-05-28_16-35-31_OF1
21,26,OF2,Harry/EphysNeuropixelData/of/M21_D26_2024-05-28_17-39-12_OF2
21,26,VR,Harry/EphysNeuropixelData/vr/M21_D26_2024-05-28_17-04-41_VR1
21,27,OF1,Harry/EphysNeuropixelData/of/M21_D27_2024-05-29_16-22-23_OF1
21,27,OF2,Harry/EphysNeuropixelData/of/M21_D27_2024-05-29_17-32-54_OF2
21,27,VR,Harry/EphysNeuropixelData/vr/M21_D27_2024-05-29_16-50-48_VR1
21,27,VID1,Harry/EphysNeuropixelData/allen_brain_observatory_visual_coding/M21_D27_2024-05-29_17-57-09_VID1
21,28,OF1,Harry/EphysNeuropixelData/of/M21_D28_2024-05-30_17-04-42_OF1
21,28,OF2,Harry/EphysNeuropixelData/of/M21_D28_2024-05-30_18-01-23_OF2
21,28,VR,Harry/EphysNeuropixelData/vr/M21_D28_2024-05-30_17-28-04_VR1
21,28,VID1,Harry/EphysNeuropixelData/allen_brain_observatory_visual_coding/M21_D28_2024-05-30_18-24-56_VID1
22,33,OF1,Harry/EphysNeuropixelData/of/M22_D33_2024-10-20_12-37-39_OF1
22,33,OF2,Harry/EphysNeuropixelData/of/M22_D33_2024-10-20_13-46-26_OF2
22,33,VR,Harry/EphysNeuropixelData/vr/M22_D33_2024-10-20_13-05-11_VR1
22,34,OF1,Harry/EphysNeuropixelData/of/M22_D34_2024-10-21_13-54-34_OF1
22,34,OF2,Harry/EphysNeuropixelData/of/M22_D34_2024-10-21_14-57-34_OF2
22,34,VR,Harry/EphysNeuropixelData/vr/M22_D34_2024-10-21_14-22-29_VR1
22,35,OF1,Harry/EphysNeuropixelData/of/M22_D35_2024-10-22_12-51-15_OF1
22,35,OF2,Harry/EphysNeuropixelData/of/M22_D35_2024-10-22_13-57-46_OF2
22,35,VR,Harry/EphysNeuropixelData/vr/M22_D35_2024-10-22_13-22-24_VR1
22,36,OF1,Harry/EphysNeuropixelData/of/M22_D36_2024-10-23_13-46-09_OF1
22,36,OF2,Harry/EphysNeuropixelData/of/M22_D36_2024-10-23_15-09-30_OF2
22,36,VR,Harry/EphysNeuropixelData/vr/M22_D36_2024-10-23_14-29-08_VR1
22,37,OF1,Harry/EphysNeuropixelData/of/M22_D37_2024-10-24_13-34-24_OF1
22,37,OF2,Harry/EphysNeuropixelData/of/M22_D37_2024-10-24_14-40-48_OF2
22,37,VR,Harry/EphysNeuropixelData/vr/M22_D37_2024-10-24_14-04-41_VR1
22,38,OF1,Harry/EphysNeuropixelData/of/M22_D38_2024-10-26_12-51-22_OF1
22,38,OF2,Harry/EphysNeuropixelData/of/M22_D38_2024-10-26_13-55-05_OF2
22,38,VR,Harry/EphysNeuropixelData/vr/M22_D38_2024-10-26_13-16-00_VR1
22,39,OF1,Harry/EphysNeuropixelData/of/M22_D39_2024-10-27_13-12-14_OF1
22,39,OF2,Harry/EphysNeuropixelData/of/M22_D39_2024-10-27_14-20-29_OF2
22,39,VR,Harry/EphysNeuropixelData/vr/M22_D39_2024-10-27_13-40-56_VR1
22,40,OF1,Harry/EphysNeuropixelData/of/M22_D40_2024-10-28_13-04-16_OF1
22,40,OF2,Harry/EphysNeuropixelData/of/M22_D40_2024-10-28_14-07-32_OF2
22,40,VR,Harry/EphysNeuropixelData/vr/M22_D40_2024-10-28_13-28-49_VR1
22,41,OF1,Harry/EphysNeuropixelData/of/M22_D41_2024-10-31_14-02-16_OF1
22,41,OF2,Harry/EphysNeuropixelData/of/M22_D41_2024-10-31_15-54-35_OF2
22,41,VR,Harry/EphysNeuropixelData/vr/M22_D41_2024-10-31_14-24-28_VR1
22,42,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M22_D42_2024-11-02_16-41-42_MCVR1
22,43,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M22_D43_2024-11-04_17-17-37_MCVR1
22,43,IM,Harry/EphysNeuropixelData/allen_brain_observatory_visual_coding/M22_D43_2024-11-04_19-28-15_IM
22,44,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M22_D44_2024-11-05_17-33-27_MCVR1
22,44,IM,Harry/EphysNeuropixelData/allen_brain_observatory_visual_coding/M22_D44_2024-11-05_18-31-18_IM
22,45,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M22_D45_2024-11-07_17-00-53_MCVR1
22,46,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M22_D46_2024-11-10_17-41-23_MCVR1
22,47,IMSEQ,Harry/EphysNeuropixelData/allen_brain_observatory_visual_sequences/M22_D47_2024-11-11_17-58-06_IMSEQ
22,48,IMSEQ,Harry/EphysNeuropixelData/allen_brain_observatory_visual_sequences/M22_D48_2024-11-12_17-27-38_IMSEQ
22,49,IMSEQ2,Harry/EphysNeuropixelData/allen_brain_observatory_visual_multi_sequences/M22_D49_2024-11-15_15-32-25_IMSEQ2
25,16,OF1,Harry/EphysNeuropixelData/of/M25_D16_2024-11-02_10-52-02_OF1
25,16,OF2,Harry/EphysNeuropixelData/of/M25_D16_2024-11-02_12-01-45_OF2
25,16,VR,Harry/EphysNeuropixelData/vr/M25_D16_2024-11-02_11-21-48_VR1
25,17,OF1,Harry/EphysNeuropixelData/of/M25_D17_2024-11-04_11-15-37_OF1
25,17,OF2,Harry/EphysNeuropixelData/of/M25_D17_2024-11-04_12-41-11_OF2
25,17,VR,Harry/EphysNeuropixelData/vr/M25_D17_2024-11-04_11-46-28_VR1
25,18,OF1,Harry/EphysNeuropixelData/of/M25_D18_2024-11-05_12-08-47_OF1
25,18,OF2,Harry/EphysNeuropixelData/of/M25_D18_2024-11-05_13-17-34_OF2
25,18,VR,Harry/EphysNeuropixelData/vr/M25_D18_2024-11-05_12-38-28_VR1
25,19,OF1,Harry/EphysNeuropixelData/of/M25_D19_2024-11-07_11-32-00_OF1
25,19,OF2,Harry/EphysNeuropixelData/of/M25_D19_2024-11-07_12-37-02_OF2
25,19,VR,Harry/EphysNeuropixelData/vr/M25_D19_2024-11-07_11-58-47_VR1
25,20,OF1,Harry/EphysNeuropixelData/of/M25_D20_2024-11-08_11-25-37_OF1
25,20,OF2,Harry/EphysNeuropixelData/of/M25_D20_2024-11-08_12-29-01_OF2
25,20,VR,Harry/EphysNeuropixelData/vr/M25_D20_2024-11-08_11-52-50_VR1
25,21,OF1,Harry/EphysNeuropixelData/of/M25_D21_2024-11-09_12-41-10_OF1
25,21,OF2,Harry/EphysNeuropixelData/of/M25_D21_2024-11-09_13-52-17_OF2
25,21,VR,Harry/EphysNeuropixelData/vr/M25_D21_2024-11-09_13-15-21_VR1
25,22,OF1,Harry/EphysNeuropixelData/of/M25_D22_2024-11-10_13-06-26_OF1
25,22,OF2,Harry/EphysNeuropixelData/of/M25_D22_2024-11-10_14-02-04_OF2
25,22,VR,Harry/EphysNeuropixelData/vr/M25_D22_2024-11-10_13-24-13_VR1
25,23,OF1,Harry/EphysNeuropixelData/of/M25_D23_2024-11-11_13-11-10_OF1
25,23,OF2,Harry/EphysNeuropixelData/of/M25_D23_2024-11-11_14-13-29_OF2
25,23,VR,Harry/EphysNeuropixelData/vr/M25_D23_2024-11-11_13-35-31_VR1
25,24,OF1,Harry/EphysNeuropixelData/of/M25_D24_2024-11-12_13-00-24_OF1
25,24,OF2,Harry/EphysNeuropixelData/of/M25_D24_2024-11-12_13-59-21_OF2
25,24,VR,Harry/EphysNeuropixelData/vr/M25_D24_2024-11-12_13-22-38_VR1
25,25,OF1,Harry/EphysNeuropixelData/of/M25_D25_2024-11-13_13-32-25_OF1
25,25,OF2,Harry/EphysNeuropixelData/of/M25_D25_2024-11-13_14-40-58_OF2
25,25,VR,Harry/EphysNeuropixelData/vr/M25_D25_2024-11-13_13-59-48_VR1
25,26,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M25_D26_2024-11-14_14-56-32_MCVR
25,26,IM,Harry/EphysNeuropixelData/allen_brain_observatory_visual_coding/M25_D26_2024-11-14_15-43-14_IM
25,27,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M25_D27_2024-11-15_13-55-09_MCVR
25,27,IM,Harry/EphysNeuropixelData/allen_brain_observatory_visual_coding/M25_D27_2024-11-15_14-50-49_IM
25,28,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M25_D28_2024-11-16_14-46-49_MCVR
25,29,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M25_D29_2024-11-17_15-07-08_MCVR
25,30,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M25_D30_2024-11-18_14-32-46_MCVR
25,31,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M25_D31_2024-11-19_15-29-32_MCVR
25,32,IMSEQ2,Harry/EphysNeuropixelData/allen_brain_observatory_visual_multi_sequences/M25_D32_2024-11-20_14-22-13_IMSEQ2
26,11,OF1,Harry/EphysNeuropixelData/of/M26_D11_2024-10-25_12-35-18_OF1
26,11,OF2,Harry/EphysNeuropixelData/of/M26_D11_2024-10-25_13-59-49_OF2
26,11,VR,Harry/EphysNeuropixelData/vr/M26_D11_2024-10-25_13-22-28_VR1
26,12,OF1,Harry/EphysNeuropixelData/of/M26_D12_2024-10-26_14-17-38_OF1
26,12,OF2,Harry/EphysNeuropixelData/of/M26_D12_2024-10-26_15-29-06_OF2
26,12,VR,Harry/EphysNeuropixelData/vr/M26_D12_2024-10-26_14-55-25_VR1
26,13,OF1,Harry/EphysNeuropixelData/of/M26_D13_2024-10-27_14-55-58_OF1
26,13,OF2,Harry/EphysNeuropixelData/of/M26_D13_2024-10-27_16-20-50_OF2
26,13,VR,Harry/EphysNeuropixelData/vr/M26_D13_2024-10-27_15-20-39_VR1
26,14,OF1,Harry/EphysNeuropixelData/of/M26_D14_2024-10-28_14-41-07_OF1
26,14,OF2,Harry/EphysNeuropixelData/of/M26_D14_2024-10-28_15-42-49_OF2
26,14,VR,Harry/EphysNeuropixelData/vr/M26_D14_2024-10-28_15-05-43_VR1
26,15,OF1,Harry/EphysNeuropixelData/of/M26_D15_2024-11-01_11-16-09_OF1
26,15,OF2,Harry/EphysNeuropixelData/of/M26_D15_2024-11-01_12-27-30_OF2
26,15,VR,Harry/EphysNeuropixelData/vr/M26_D15_2024-11-01_11-46-47_VR1
26,16,OF1,Harry/EphysNeuropixelData/of/M26_D16_2024-11-02_12-35-57_OF1
26,16,OF2,Harry/EphysNeuropixelData/of/M26_D16_2024-11-02_13-38-03_OF2
26,16,VR,Harry/EphysNeuropixelData/vr/M26_D16_2024-11-02_13-03-03_VR1
26,17,OF1,Harry/EphysNeuropixelData/of/M26_D17_2024-11-04_13-30-22_OF1
26,17,OF2,Harry/EphysNeuropixelData/of/M26_D17_2024-11-04_14-30-33_OF2
26,17,VR,Harry/EphysNeuropixelData/vr/M26_D17_2024-11-04_13-55-14_VR1
26,18,OF1,Harry/EphysNeuropixelData/of/M26_D18_2024-11-05_13-40-54_OF1
26,18,OF2,Harry/EphysNeuropixelData/of/M26_D18_2024-11-05_14-45-57_OF2
26,18,VR,Harry/EphysNeuropixelData/vr/M26_D18_2024-11-05_14-10-30_VR1
26,19,OF1,Harry/EphysNeuropixelData/of/M26_D19_2024-11-07_13-15-00_OF1
26,19,OF2,Harry/EphysNeuropixelData/of/M26_D19_2024-11-07_14-26-55_OF2
26,19,VR,Harry/EphysNeuropixelData/vr/M26_D19_2024-11-07_13-46-35_VR1
26,20,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M26_D20_2024-11-09_14-30-09_MCVR1
26,20,IM,Harry/EphysNeuropixelData/allen_brain_observatory_visual_coding/M26_D20_2024-11-09_15-20-49_IM
26,21,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M26_D21_2024-11-10_16-25-19_MCVR1
26,21,IM,Harry/EphysNeuropixelData/allen_brain_observatory_visual_coding/M26_D21_2024-11-10_17-06-02_IM
26,22,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M26_D22_2024-11-11_16-34-46_MCVR1
26,22,IMSEQ,Harry/EphysNeuropixelData/allen_brain_observatory_visual_sequences/M26_D22_2024-11-11_17-21-35_IMSEQ
26,23,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M26_D23_2024-11-12_16-05-30_MCVR1
26,23,IMSEQ,Harry/EphysNeuropixelData/allen_brain_observatory_visual_sequences/M26_D23_2024-11-12_16-52-42_IMSEQ
26,24,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M26_D24_2024-11-13_16-46-13_MCVR1
26,25,IMSEQ2,Harry/EphysNeuropixelData/allen_brain_observatory_visual_multi_sequences/M26_D25_2024-11-15_16-48-47_IMSEQ2
27,16,OF1,Harry/EphysNeuropixelData/of/M27_D16_2024-11-01_12-55-59_OF1
27,16,OF2,Harry/EphysNeuropixelData/of/M27_D16_2024-11-01_13-58-31_OF2
27,16,VR,Harry/EphysNeuropixelData/vr/M27_D16_2024-11-01_13-21-07_VR1
27,17,OF1,Harry/EphysNeuropixelData/of/M27_D17_2024-11-02_14-09-52_OF1
27,17,OF2,Harry/EphysNeuropixelData/of/M27_D17_2024-11-02_15-09-36_OF2
27,17,VR,Harry/EphysNeuropixelData/vr/M27_D17_2024-11-02_14-36-28_VR1
27,18,OF1,Harry/EphysNeuropixelData/of/M27_D18_2024-11-04_15-22-01_OF1
27,18,OF2,Harry/EphysNeuropixelData/of/M27_D18_2024-11-04_16-21-49_OF2
27,18,VR,Harry/EphysNeuropixelData/vr/M27_D18_2024-11-04_15-46-12_VR1
27,19,OF1,Harry/EphysNeuropixelData/of/M27_D19_2024-11-05_15-25-49_OF1
27,19,OF2,Harry/EphysNeuropixelData/of/M27_D19_2024-11-05_16-25-36_OF2
27,19,VR,Harry/EphysNeuropixelData/vr/M27_D19_2024-11-05_15-51-02_VR1
27,20,OF1,Harry/EphysNeuropixelData/of/M27_D20_2024-11-07_15-06-30_OF1
27,20,OF2,Harry/EphysNeuropixelData/of/M27_D20_2024-11-07_16-24-19_OF2
27,20,VR,Harry/EphysNeuropixelData/vr/M27_D20_2024-11-07_15-37-18_VR1
27,21,OF1,Harry/EphysNeuropixelData/of/M27_D21_2024-11-08_13-05-59_OF1
27,21,OF2,Harry/EphysNeuropixelData/of/M27_D21_2024-11-08_14-18-53_OF2
27,21,VR,Harry/EphysNeuropixelData/vr/M27_D21_2024-11-08_13-37-37_VR1
27,22,OF1,Harry/EphysNeuropixelData/of/M27_D22_2024-11-09_15-55-17_OF1
27,22,OF2,Harry/EphysNeuropixelData/of/M27_D22_2024-11-09_16-58-12_OF2
27,22,VR,Harry/EphysNeuropixelData/vr/M27_D22_2024-11-09_16-21-21_VR1
27,23,OF1,Harry/EphysNeuropixelData/of/M27_D23_2024-11-10_14-37-22_OF1
27,23,OF2,Harry/EphysNeuropixelData/of/M27_D23_2024-11-10_15-38-08_OF2
27,23,VR,Harry/EphysNeuropixelData/vr/M27_D23_2024-11-10_15-02-44_VR1
27,24,OF1,Harry/EphysNeuropixelData/of/M27_D24_2024-11-11_14-46-25_OF1
27,24,OF2,Harry/EphysNeuropixelData/of/M27_D24_2024-11-11_16-02-46_OF2
27,24,VR,Harry/EphysNeuropixelData/vr/M27_D24_2024-11-11_15-16-45_VR1
27,25,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M27_D25_2024-11-12_14-38-49_MCVR1
27,25,IM,Harry/EphysNeuropixelData/allen_brain_observatory_visual_coding/M27_D25_2024-11-12_15-16-21_IM
27,26,OF1,Harry/EphysNeuropixelData/of/M27_D26_2024-11-13_15-09-43_OF1
27,26,OF2,Harry/EphysNeuropixelData/of/M27_D26_2024-11-13_16-12-24_OF2
27,26,VR,Harry/EphysNeuropixelData/vr/M27_D26_2024-11-13_15-34-42_VR1
27,27,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M27_D27_2024-11-14_16-19-48_MCVR
27,27,IM,Harry/EphysNeuropixelData/allen_brain_observatory_visual_coding/M27_D27_2024-11-14_17-06-43_IM
27,28,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M27_D28_2024-11-15_17-40-00_MCVR
27,29,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M27_D29_2024-11-16_15-33-35_MCVR
27,30,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M27_D30_2024-11-17_15-54-59_MCVR
27,31,IMSEQ2,Harry/EphysNeuropixelData/allen_brain_observatory_visual_multi_sequences/M27_D31_2024-11-20_15-11-42_IMSEQ2
28,16,OF1,Harry/EphysNeuropixelData/of/M28_D16_2024-12-03_14-26-36_OF1
28,16,OF2,Harry/EphysNeuropixelData/of/M28_D16_2024-12-03_15-41-47_OF2
28,16,VR,Harry/EphysNeuropixelData/vr/M28_D16_2024-12-03_14-59-56_VR1
28,17,OF1,Harry/EphysNeuropixelData/of/M28_D17_2024-12-04_13-03-41_OF1
28,17,OF2,Harry/EphysNeuropixelData/of/M28_D17_2024-12-04_14-22-08_OF2
28,17,VR,Harry/EphysNeuropixelData/vr/M28_D17_2024-12-04_13-39-51_VR1
28,18,OF1,Harry/EphysNeuropixelData/of/M28_D18_2024-12-05_13-35-51_OF1
28,18,OF2,Harry/EphysNeuropixelData/of/M28_D18_2024-12-05_14-55-39_OF2
28,18,VR,Harry/EphysNeuropixelData/vr/M28_D18_2024-12-05_14-05-52_VR1
28,19,OF1,Harry/EphysNeuropixelData/of/M28_D19_2024-12-06_13-48-00_OF1
28,19,OF2,Harry/EphysNeuropixelData/of/M28_D19_2024-12-06_15-00-06_OF2
28,19,VR,Harry/EphysNeuropixelData/vr/M28_D19_2024-12-06_14-17-06_VR1
28,20,OF1,Harry/EphysNeuropixelData/of/M28_D20_2024-12-07_13-18-37_OF1
28,20,OF2,Harry/EphysNeuropixelData/of/M28_D20_2024-12-07_14-32-58_OF2
28,20,VR,Harry/EphysNeuropixelData/vr/M28_D20_2024-12-07_13-46-36_VR1
28,21,OF1,Harry/EphysNeuropixelData/of/M28_D21_2024-12-08_13-21-17_OF1
28,21,OF2,Harry/EphysNeuropixelData/of/M28_D21_2024-12-08_14-26-25_OF2
28,21,VR,Harry/EphysNeuropixelData/vr/M28_D21_2024-12-08_13-47-33_VR1
28,22,OF1,Harry/EphysNeuropixelData/of/M28_D22_2024-12-09_13-13-46_OF1
28,22,OF2,Harry/EphysNeuropixelData/of/M28_D22_2024-12-09_14-29-12_OF2
28,22,VR,Harry/EphysNeuropixelData/vr/M28_D22_2024-12-09_13-41-22_VR1
28,23,OF1,Harry/EphysNeuropixelData/of/M28_D23_2024-12-10_13-52-49_OF1
28,23,OF2,Harry/EphysNeuropixelData/of/M28_D23_2024-12-10_15-02-45_OF2
28,23,VR,Harry/EphysNeuropixelData/vr/M28_D23_2024-12-10_14-22-28_VR1
28,24,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M28_D24_2024-12-11_14-45-39_MCVR1
28,24,VIS1,Harry/EphysNeuropixelData/allen_brain_observatory_visual_coding/M28_D24_2024-12-11_16-06-43_VIS1
28,25,OF1,Harry/EphysNeuropixelData/of/M28_D25_2024-12-12_14-34-21_OF1
28,25,OF2,Harry/EphysNeuropixelData/of/M28_D25_2024-12-12_15-45-33_OF2
28,25,VR,Harry/EphysNeuropixelData/vr/M28_D25_2024-12-12_15-01-27_VR1
28,26,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M28_D26_2024-12-13_14-48-02_MCVR1
28,26,IM1,Harry/EphysNeuropixelData/allen_brain_observatory_visual_coding/M28_D26_2024-12-13_16-25-25_IM1
28,27,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M28_D27_2024-12-14_14-38-21_MCVR1
28,27,IMSEQ,Harry/EphysNeuropixelData/allen_brain_observatory_visual_multi_sequences/M28_D27_2024-12-14_16-31-44_IMSEQ
28,28,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M28_D28_2024-12-15_14-24-55_MCVR1
28,29,MCVR,Harry/EphysNeuropixelData/vr_multi_context/M28_D29_2024-12-16_15-39-09_MCVR1
29,16,OF1,Harry/EphysNeuropixelData/of/M29_D16_2024-12-03_16-45-51_OF1
