mouse,day,session,filepath
2,2,MMNAV1,Wolf/mmnav/data/raw/VR/M02_D02_2025-11-13_13-00-00_MMNAV1
10,18,MMNAV,Wolf/mmnav/data/raw/VR/M10_D18_2026-06-25_17-27-15_MMNAV
5,18,MMNAVGPI,Wolf/mmnav/data/raw/VR/M05_D18_2025-11-30_13-59-05_MMNAVGPI
8,20,MMNAV,Wolf/mmnav/data/raw/VR/M08_D20_2026-06-27_14-47-47_MMNAV
7,12,MMNAV,Wolf/mmnav/data/raw/VR/M07_D12_2026-06-18_14-25-56_MMNAV
3,20,MMNAVGPI,Wolf/mmnav/data/raw/VR/M03_D20_2025-12-01_12-26-47_MMNAVGPI
6,23,MMNAVGPI,Wolf/mmnav/data/raw/VR/M06_D23_2025-12-04_16-00-00_MMNAVGPI
2,8,MMNAV2,Wolf/mmnav/data/raw/VR/M02_D08_2025-11-19_13-00-00_MMNAV2
7,8,MMNAV,Wolf/mmnav/data/raw/VR/M07_D08_2026-06-13_13-35-45_MMNAV
8,4,MMNAV,Wolf/mmnav/data/raw/VR/M08_D04_2026-06-09_14-31-17_MMNAV
8,2,MMNAV,Wolf/mmnav/data/raw/VR/M08_D02_2026-06-07_14-31-02_MMNAV
8,15,MMNAV,Wolf/mmnav/data/raw/VR/M08_D15_2026-06-22_14-12-58_MMNAV
3,8,MMNAV2,Wolf/mmnav/data/raw/VR/M03_D08_2025-11-19_14-05-20_MMNAV2
8,12,MMNAV,Wolf/mmnav/data/raw/VR/M08_D12_2026-06-18_15-30-18_MMNAV
8,18,MMNAV,Wolf/mmnav/data/raw/VR/M08_D18_2026-06-25_14-50-48_MMNAV
7,20,MMNAV,Wolf/mmnav/data/raw/VR/M07_D20_2026-06-27_13-26-25_MMNAV
5,3,MMNAV1,Wolf/mmnav/data/raw/VR/M05_D03_2025-11-15_15-10-21_MMNAV1
8,1,MMNAV,Wolf/mmnav/data/raw/VR/M08_D01_2026-06-06_14-53-55_MMNAV
4,16,MMNAVGPI,Wolf/mmnav/data/raw/VR/M04_D16_2025-11-28_14-56-30_MMNAVGPI
5,13,MMNAVG,Wolf/mmnav/data/raw/VR/M05_D13_2025-11-25_15-27-34_MMNAVG
7,18,MMNAV,Wolf/mmnav/data/raw/VR/M07_D18_2026-06-25_13-26-51_MMNAV
8,6,MMNAV,Wolf/mmnav/data/raw/VR/M08_D06_2026-06-11_14-41-05_MMNAV
10,4,MMNAV,Wolf/mmnav/data/raw/VR/M10_D04_2026-06-09_16-04-15_MMNAV
7,10,MMNAV,Wolf/mmnav/data/raw/VR/M07_D10_2026-06-15_12-07-06_MMNAV
10,2,MMNAV,Wolf/mmnav/data/raw/VR/M10_D02_2026-06-07_16-02-54_MMNAV
3,2,MMNAV1,Wolf/mmnav/data/raw/VR/M03_D02_2025-11-13_14-16-12_MMNAV1
9,21,MMNAV,Wolf/mmnav/data/raw/VR/M09_D21_2026-06-28_15-35-15_MMNAV
9,9,MMNAV,Wolf/mmnav/data/raw/VR/M09_D09_2026-06-14_15-13-31_MMNAV
7,2,MMNAV,Wolf/mmnav/data/raw/VR/M07_D02_2026-06-07_13-43-51_MMNAV
6,13,MMNAVG,Wolf/mmnav/data/raw/VR/M06_D13_2025-11-25_16-00-00_MMNAVG
8,17,MMNAV,Wolf/mmnav/data/raw/VR/M08_D17_2026-06-24_14-51-09_MMNAV
7,13,MMNAV,Wolf/mmnav/data/raw/VR/M07_D13_2026-06-19_13-27-20_MMNAV
3,15,MMNAVGPI,Wolf/mmnav/data/raw/VR/M03_D15_2025-11-26_14-10-33_MMNAVGPI
5,7,MMNAV2,Wolf/mmnav/data/raw/VR/M05_D07_2025-11-19_15-24-43_MMNAV2
4,20,MMNAVGPI,Wolf/mmnav/data/raw/VR/M04_D20_2025-12-02_13-00-32_MMNAVGPI
7,7,MMNAV,Wolf/mmnav/data/raw/VR/M07_D07_2026-06-12_13-41-04_MMNAV
2,4,MMNAV1,Wolf/mmnav/data/raw/VR/M02_D04_2025-11-15_13-00-00_MMNAV1
10,20,MMNAV,Wolf/mmnav/data/raw/VR/M10_D20_2026-06-27_17-25-25_MMNAV
5,20,MMNAVGPI,Wolf/mmnav/data/raw/VR/M05_D20_2025-12-02_13-54-00_MMNAVGPI
5,1,MMNAV1,Wolf/mmnav/data/raw/VR/M05_D01_2025-11-13_16-02-32_MMNAV1
6,15,MMNAVGPI,Wolf/mmnav/data/raw/VR/M06_D15_2025-11-27_16-20-00_MMNAVGPI
5,14,MMNAVGPI,Wolf/mmnav/data/raw/VR/M05_D14_2025-11-26_15-47-38_MMNAVGPI
4,22,MMNAVGPI,Wolf/mmnav/data/raw/VR/M04_D22_2025-12-04_12-40-23_MMNAVGPI
7,16,MMNAV,Wolf/mmnav/data/raw/VR/M07_D16_2026-06-23_12-39-03_MMNAV
2,13,MMNAVG,Wolf/mmnav/data/raw/VR/M02_D13_2025-11-24_14-00-00_MMNAVG
8,16,MMNAV,Wolf/mmnav/data/raw/VR/M08_D16_2026-06-23_13-52-59_MMNAV
6,12,MMNAVG,Wolf/mmnav/data/raw/VR/M06_D12_2025-11-24_16-40-00_MMNAVG
6,3,MMNAV1,Wolf/mmnav/data/raw/VR/M06_D03_2025-11-15_15-50-00_MMNAV1
9,2,MMNAV,Wolf/mmnav/data/raw/VR/M09_D02_2026-06-07_15-17-34_MMNAV
5,15,MMNAVGPI,Wolf/mmnav/data/raw/VR/M05_D15_2025-11-27_15-39-05_MMNAVGPI
4,13,MMNAVG,Wolf/mmnav/data/raw/VR/M04_D13_2025-11-25_14-39-59_MMNAVG
7,19,MMNAV,Wolf/mmnav/data/raw/VR/M07_D19_2026-06-26_12-48-42_MMNAV
8,7,MMNAV,Wolf/mmnav/data/raw/VR/M08_D07_2026-06-12_14-31-44_MMNAV
4,21,MMNAVGPI,Wolf/mmnav/data/raw/VR/M04_D21_2025-12-03_12-46-30_MMNAVGPI
9,17,MMNAV,Wolf/mmnav/data/raw/VR/M09_D17_2026-06-24_16-07-49_MMNAV
9,4,MMNAV,Wolf/mmnav/data/raw/VR/M09_D04_2026-06-09_15-18-46_MMNAV
2,15,MMNAVGPI,Wolf/mmnav/data/raw/VR/M02_D15_2025-11-26_13-10-00_MMNAVGPI
8,19,MMNAV,Wolf/mmnav/data/raw/VR/M08_D19_2026-06-26_14-08-26_MMNAV
3,3,MMNAV1,Wolf/mmnav/data/raw/VR/M03_D03_2025-11-14_14-03-17_MMNAV1
4,15,MMNAVGPI,Wolf/mmnav/data/raw/VR/M04_D15_2025-11-27_14-54-21_MMNAVGPI
5,17,MMNAVGPI,Wolf/mmnav/data/raw/VR/M05_D17_2025-11-29_17-12-37_MMNAVGPI
5,4,MMNAV1,Wolf/mmnav/data/raw/VR/M05_D04_2025-11-16_14-46-40_MMNAV1
8,10,MMNAV,Wolf/mmnav/data/raw/VR/M08_D10_2026-06-15_12-49-58_MMNAV
8,22,MMNAV,Wolf/mmnav/data/raw/VR/M08_D22_2026-06-29_14-30-02_MMNAV
5,8,MMNAV2,Wolf/mmnav/data/raw/VR/M05_D08_2025-11-20_17-50-24_MMNAV2
9,18,MMNAV,Wolf/mmnav/data/raw/VR/M09_D18_2026-06-25_16-06-47_MMNAV
6,17,MMNAVGPI,Wolf/mmnav/data/raw/VR/M06_D17_2025-11-29_16-00-00_MMNAVGPI
7,21,MMNAV,Wolf/mmnav/data/raw/VR/M07_D21_2026-06-28_13-02-31_MMNAV
9,7,MMNAV,Wolf/mmnav/data/raw/VR/M09_D07_2026-06-12_15-19-59_MMNAV
8,5,MMNAV,Wolf/mmnav/data/raw/VR/M08_D05_2026-06-10_14-52-39_MMNAV
2,6,MMNAV2,Wolf/mmnav/data/raw/VR/M02_D06_2025-11-17_13-30-00_MMNAV2
5,6,MMNAV2,Wolf/mmnav/data/raw/VR/M05_D06_2025-11-18_15-55-27_MMNAV2
9,22,MMNAV,Wolf/mmnav/data/raw/VR/M09_D22_2026-06-29_15-45-02_MMNAV
2,22,MMNAVGPI,Wolf/mmnav/data/raw/VR/M02_D22_2025-12-03_13-00-00_MMNAVGPI
6,6,MMNAV2,Wolf/mmnav/data/raw/VR/M06_D06_2025-11-18_16-50-00_MMNAV2
4,3,MMNAV1,Wolf/mmnav/data/raw/VR/M04_D03_2025-11-15_14-31-14_MMNAV1
9,19,MMNAV,Wolf/mmnav/data/raw/VR/M09_D19_2026-06-26_15-04-46_MMNAV
7,4,MMNAV,Wolf/mmnav/data/raw/VR/M07_D04_2026-06-09_13-44-42_MMNAV
5,22,MMNAVGPI,Wolf/mmnav/data/raw/VR/M05_D22_2025-12-04_13-22-37_MMNAVGPI
7,5,MMNAV,Wolf/mmnav/data/raw/VR/M07_D05_2026-06-10_13-56-05_MMNAV
8,8,MMNAV,Wolf/mmnav/data/raw/VR/M08_D08_2026-06-13_14-21-14_MMNAV
2,14,MMNAVG,Wolf/mmnav/data/raw/VR/M02_D14_2025-11-25_13-00-00_MMNAVG
4,1,MMNAV1,Wolf/mmnav/data/raw/VR/M04_D01_2025-11-13_15-04-38_MMNAV1
10,12,MMNAV,Wolf/mmnav/data/raw/VR/M10_D12_2026-06-18_17-59-07_MMNAV
4,5,MMNAV2,Wolf/mmnav/data/raw/VR/M04_D05_2025-11-17_15-24-48_MMNAV2
2,17,MMNAVGPI,Wolf/mmnav/data/raw/VR/M02_D17_2025-11-28_13-00-00_MMNAVGPI
8,14,MMNAV,Wolf/mmnav/data/raw/VR/M08_D14_2026-06-20_14-36-39_MMNAV
4,2,MMNAV1,Wolf/mmnav/data/raw/VR/M04_D02_2025-11-14_14-42-20_MMNAV1
2,23,MMNAVGPI,Wolf/mmnav/data/raw/VR/M02_D23_2025-12-04_13-00-00_MMNAVGPI
4,19,MMNAVGPI,Wolf/mmnav/data/raw/VR/M04_D19_2025-12-01_12-56-10_MMNAVGPI
3,4,MMNAV1,Wolf/mmnav/data/raw/VR/M03_D04_2025-11-15_13-51-52_MMNAV1
6,8,MMNAV2,Wolf/mmnav/data/raw/VR/M06_D08_2025-11-20_16-40-00_MMNAV2
7,14,MMNAV,Wolf/mmnav/data/raw/VR/M07_D14_2026-06-20_13-43-56_MMNAV
8,3,MMNAV,Wolf/mmnav/data/raw/VR/M08_D03_2026-06-08_14-45-48_MMNAV
6,2,MMNAV1,Wolf/mmnav/data/raw/VR/M06_D02_2025-11-14_16-00-00_MMNAV1
4,14,MMNAVGPI,Wolf/mmnav/data/raw/VR/M04_D14_2025-11-26_15-02-39_MMNAVGPI
10,1,MMNAV,Wolf/mmnav/data/raw/VR/M10_D01_2026-06-06_16-28-18_MMNAV
4,23,MMNAVGPI,Wolf/mmnav/data/raw/VR/M04_D23_2025-12-05_12-11-05_MMNAVGPI
3,14,MMNAVG,Wolf/mmnav/data/raw/VR/M03_D14_2025-11-25_13-53-29_MMNAVG
6,20,MMNAVGPI,Wolf/mmnav/data/raw/VR/M06_D20_2025-12-02_16-00-00_MMNAVGPI
9,11,MMNAV,Wolf/mmnav/data/raw/VR/M09_D11_2026-06-16_11-34-03_MMNAV
3,13,MMNAVG,Wolf/mmnav/data/raw/VR/M03_D13_2025-11-24_15-00-00_MMNAVG
9,16,MMNAV,Wolf/mmnav/data/raw/VR/M09_D16_2026-06-23_15-15-14_MMNAV
5,23,MMNAVGPI,Wolf/mmnav/data/raw/VR/M05_D23_2025-12-05_12-41-01_MMNAVGPI
9,15,MMNAV,Wolf/mmnav/data/raw/VR/M09_D15_2026-06-22_15-08-19_MMNAV
2,18,MMNAVGPI,Wolf/mmnav/data/raw/VR/M02_D18_2025-11-29_13-00-00_MMNAVGPI
5,19,MMNAVGPI,Wolf/mmnav/data/raw/VR/M05_D19_2025-12-01_13-37-53_MMNAVGPI
4,6,MMNAV2,Wolf/mmnav/data/raw/VR/M04_D06_2025-11-18_15-10-31_MMNAV2
8,11,MMNAV,Wolf/mmnav/data/raw/VR/M08_D11_2026-06-16_10-46-31_MMNAV
7,3,MMNAV,Wolf/mmnav/data/raw/VR/M07_D03_2026-06-08_14-01-09_MMNAV
10,9,MMNAV,Wolf/mmnav/data/raw/VR/M10_D09_2026-06-14_16-00-52_MMNAV
9,14,MMNAV,Wolf/mmnav/data/raw/VR/M09_D14_2026-06-20_15-28-30_MMNAV
7,22,MMNAV,Wolf/mmnav/data/raw/VR/M07_D22_2026-06-29_13-09-58_MMNAV
7,11,MMNAV,Wolf/mmnav/data/raw/VR/M07_D11_2026-06-16_10-00-41_MMNAV
6,1,MMNAV1,Wolf/mmnav/data/raw/VR/M06_D01_2025-11-13_16-40-00_MMNAV1
9,8,MMNAV,Wolf/mmnav/data/raw/VR/M09_D08_2026-06-13_15-06-58_MMNAV
7,17,MMNAV,Wolf/mmnav/data/raw/VR/M07_D17_2026-06-24_13-32-44_MMNAV
8,21,MMNAV,Wolf/mmnav/data/raw/VR/M08_D21_2026-06-28_14-17-08_MMNAV
10,7,MMNAV,Wolf/mmnav/data/raw/VR/M10_D07_2026-06-12_16-10-26_MMNAV
7,1,MMNAV,Wolf/mmnav/data/raw/VR/M07_D01_2026-06-06_14-05-13_MMNAV
10,16,MMNAV,Wolf/mmnav/data/raw/VR/M10_D16_2026-06-23_16-28-45_MMNAV
3,5,MMNAV1,Wolf/mmnav/data/raw/VR/M03_D05_2025-11-16_13-31-29_MMNAV1
10,8,MMNAV,Wolf/mmnav/data/raw/VR/M10_D08_2026-06-13_15-58-52_MMNAV
10,17,MMNAV,Wolf/mmnav/data/raw/VR/M10_D17_2026-06-24_17-22-47_MMNAV
7,23,OF,Wolf/mmnav/data/raw/OF/M07_D23_2026-06-30_12-00-14_OF
8,23,OF,Wolf/mmnav/data/raw/OF/M08_D23_2026-06-30_13-18-10_OF
9,23,OF,Wolf/mmnav/data/raw/OF/M09_D23_2026-06-30_14-35-35_OF
10,23,OF,Wolf/mmnav/data/raw/OF/M10_D23_2026-06-30_15-48-31_OF
7,23,MMNAV,Wolf/mmnav/data/raw/VR/M07_D23_2026-06-30_12-33-16_MMNAV
8,23,MMNAV,Wolf/mmnav/data/raw/VR/M08_D23_2026-06-30_13-41-38_MMNAV
9,23,MMNAV,Wolf/mmnav/data/raw/VR/M09_D23_2026-06-30_14-59-08_MMNAV
10,23,MMNAV,Wolf/mmnav/data/raw/VR/M10_D23_2026-06-30_16-12-03_MMNAV
