,mouse,date,session,filepath
262,1544,2023-03-29,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-03-29_13-08-15_opto
263,1544,2023-03-29,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-03-29_13-17-13_opto1
264,1544,2023-04-03,of,Bri/optetrode_recordings/chR2/1544/1544_2023-04-03_11-04-05_of
265,1544,2023-04-03,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-04-03_11-36-39_opto
266,1544,2023-04-03,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-04-03_11-54-52_opto1
267,1544,2023-04-05,of,Bri/optetrode_recordings/chR2/1544/1544_2023-04-05_10-53-31_of
268,1544,2023-04-05,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-04-05_11-23-29_obj
269,1544,2023-04-05,obj1,Bri/optetrode_recordings/chR2/1544/1544_2023-04-05_11-46-47_obj1
270,1544,2023-04-05,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-04-05_12-10-00_opto
271,1544,2023-04-05,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-04-05_12-28-26_opto1
272,1544,2023-04-07,of,Bri/optetrode_recordings/chR2/1544/1544_2023-04-07_09-59-25_of
273,1544,2023-04-07,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-04-07_10-22-17_opto
274,1544,2023-04-07,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-04-07_10-43-07_opto2
275,1544,2023-04-11,of,Bri/optetrode_recordings/chR2/1544/1544_2023-04-11_12-56-13_of
276,1544,2023-04-11,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-04-11_13-27-30_obj
277,1544,2023-04-11,of2,Bri/optetrode_recordings/chR2/1544/1544_2023-04-11_13-54-10_of2
278,1544,2023-04-11,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-04-11_14-27-04_opto
279,1544,2023-04-11,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-04-11_14-45-36_opto1
280,1544,2023-04-13,of,Bri/optetrode_recordings/chR2/1544/1544_2023-04-13_09-59-15_of
281,1544,2023-04-13,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-04-13_10-21-54_obj
282,1544,2023-04-13,obj1,Bri/optetrode_recordings/chR2/1544/1544_2023-04-13_10-45-35_obj1
283,1544,2023-04-13,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-04-13_11-12-22_opto
284,1544,2023-04-13,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-04-13_11-32-38_opto2
285,1544,2023-04-17,of,Bri/optetrode_recordings/chR2/1544/1544_2023-04-17_13-19-57_of
286,1544,2023-04-17,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-04-17_13-56-53_obj
287,1544,2023-04-17,of2,Bri/optetrode_recordings/chR2/1544/1544_2023-04-17_14-25-02_of2
288,1544,2023-04-17,opto1,Bri/optetrode_recordings/chR2/1544/1544_2023-04-17_14-45-21_opto1
289,1544,2023-04-17,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-04-17_15-04-00_opto2
290,1544,2023-04-19,of,Bri/optetrode_recordings/chR2/1544/1544_2023-04-19_10-03-54_of
291,1544,2023-04-19,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-04-19_10-40-14_obj
292,1544,2023-04-19,obj2,Bri/optetrode_recordings/chR2/1544/1544_2023-04-19_11-13-32_obj2
293,1544,2023-04-19,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-04-19_11-46-20_opto
294,1544,2023-04-19,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-04-19_12-06-07_opto2
295,1544,2023-04-21,of,Bri/optetrode_recordings/chR2/1544/1544_2023-04-21_09-55-34_of
296,1544,2023-04-21,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-04-21_10-33-19_obj
297,1544,2023-04-21,of2,Bri/optetrode_recordings/chR2/1544/1544_2023-04-21_11-05-32_of2
298,1544,2023-04-21,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-04-21_11-39-34_opto
299,1544,2023-04-21,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-04-21_11-59-50_opto2
300,1544,2023-04-24,of,Bri/optetrode_recordings/chR2/1544/1544_2023-04-24_09-54-45_of
301,1544,2023-04-24,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-04-24_10-25-48_obj
302,1544,2023-04-24,obj2,Bri/optetrode_recordings/chR2/1544/1544_2023-04-24_10-48-26_obj2
303,1544,2023-04-24,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-04-24_11-11-56_opto
304,1544,2023-04-24,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-04-24_11-37-08_opto2
305,1544,2023-04-26,of,Bri/optetrode_recordings/chR2/1544/1544_2023-04-26_10-12-17_of
306,1544,2023-04-26,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-04-26_10-43-31_obj
